toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1000.01,50365310,FP,2.1713484,0.0002637,-0.0002637,0
1001.01,88863718,PC,1.9316462,0.0000053,-0.0000053,0
1002.01,124709665,FP,1.8675574,0.0000030,-0.0000030,0
1003.01,106997505,FP,2.7432300,0.0010800,-0.0010800,0
1004.01,238597883,FP,3.5730141,0.0000128,-0.0000128,0
1005.01,169904935,FP,4.5505945,0.0000031,-0.0000031,0
1006.01,156115721,FP,2.5047918,0.0004076,-0.0004076,0
1007.01,65212867,PC,6.9989206,0.0000137,-0.0000137,0
1008.01,440801822,FP,2.0483755,0.0000055,-0.0000055,0
1009.01,107782586,PC,1.9600277,0.0000025,-0.0000025,0
101.01,231663901,KP,1.4303699,0.0000008,-0.0000008,0
1010.01,139853601,FP,0.6808702,0.0000390,-0.0000390,0
1011.01,114018671,PC,2.4704981,0.0000073,-0.0000073,0
1012.01,427508467,APC,0.8841820,0.0000007,-0.0000007,0
1013.01,97700520,FP,5.4255548,0.0002073,-0.0002073,0
1014.01,96246348,FP,1.4095184,0.0000023,-0.0000023,0
1015.01,155044736,FP,1.3730466,0.0000067,-0.0000067,0
1016.01,175310067,FP,12.6889415,0.0095088,-0.0095088,0
1017.01,182943944,FP,1.1042200,0.0001300,-0.0001300,0
1018.01,291555748,FP,4.9591200,0.0001600,-0.0001600,0
1019.01,341420329,PC,5.2341008,0.0000012,-0.0000012,0
102.01,149603524,KP,4.4119378,0.0000008,-0.0000008,0
1020.01,140706664,FP,3.2889200,0.0006600,-0.0006600,0
1021.01,143994283,FP,1.9087900,0.0003500,-0.0003500,0
1022.01,47384844,FA,3.0957400,0.0067700,-0.0067700,0
1023.01,238374636,FP,1.3214483,0.0000231,-0.0000231,0
1024.01,141482386,FP,18.0157000,0.0001500,-0.0001500,0
1025.01,297967252,FP,9.6837908,0.0000013,-0.0000013,0
1026.01,388624270,FP,14.2628757,0.0000385,-0.0000385,0
1027.01,20318757,PC,3.2834565,0.0000046,-0.0000046,0
1027.02,20318757,PC,11.0287500,0.0000354,-0.0000354,0
1027.03,20318757,PC,5.0113292,0.0000120,-0.0000120,0
1028.01,447283466,FP,1.0160600,0.0003400,-0.0003400,0
1029.01,374908020,FP,36.2221400,0.0004600,-0.0004600,0
103.01,336732616,KP,3.5478540,0.0001490,-0.0001490,0
1030.01,464296022,FP,12.1246519,0.0000103,-0.0000103,0
1031.01,304021498,FP,5.6526230,0.0000254,-0.0000254,0
1032.01,146589986,PC,5.6643704,0.0000109,-0.0000109,0
1033.01,149601557,FP,29.0161646,0.0000476,-0.0000476,0
1034.01,400595342,FP,3.6404389,0.0000082,-0.0000082,0
1035.01,361413119,PC,6.0744477,0.0000059,-0.0000059,0
1036.01,146172354,PC,3.7795212,0.0000040,-0.0000040,0
1037.01,363260203,FP,1.2025238,0.0000067,-0.0000067,0
1038.01,90544017,FP,3.2235985,0.0000138,-0.0000138,0
1039.01,461867584,APC,4.4201250,0.0000085,-0.0000085,0
104.01,231670397,KP,4.0872956,0.0000023,-0.0000023,0
1040.01,310483807,FP,2.5555500,0.0004500,-0.0004500,0
1041.01,385624852,FP,8.3079200,0.0003700,-0.0003700,0
1042.01,360286627,FP,0.7580820,0.0000073,-0.0000073,0
1043.01,90448944,FP,1.4415577,0.0000074,-0.0000074,0
1044.01,463402815,PC,1.0085089,0.0000009,-0.0000009,0
1045.01,54044474,FP,3.7039994,0.0000037,-0.0000037,0
1046.01,309787037,FP,1.3042553,0.0000020,-0.0000020,0
1047.01,370745311,FP,0.6262700,0.0000200,-0.0000200,0
1048.01,384549882,FP,0.3041200,0.0000100,-0.0000100,0
1049.01,16288184,KP,2.1805277,0.0000027,-0.0000027,0
105.01,144065872,KP,2.1846669,0.0000005,-0.0000005,0
1050.01,66818296,KP,3.7354838,0.0000021,-0.0000021,0
1051.01,259863352,FA,21.7016690,0.0095323,-0.0095323,0
1052.01,317060587,CP,9.1398040,0.0001109,-0.0001109,0
1053.01,112395568,FP,5.7426250,0.0006210,-0.0006210,0
1054.01,366989877,CP,15.5077855,0.0002372,-0.0002372,0
1055.01,320004517,CP,17.4713078,0.0000176,-0.0000176,0
1056.01,421894914,PC,5.3079507,0.0000191,-0.0000191,0
1057.01,323132914,PC,51.1701501,0.0001962,-0.0001962,0
1058.01,31553893,PC,11.1296441,0.0000603,-0.0000603,0
1059.01,380783252,PC,9.4496506,0.0000028,-0.0000028,0
106.01,38846515,KP,2.8493825,0.0000003,-0.0000003,0
